CCC(C)S	CHEMBL3183438
CN(O)C(N)=O	CHEMBL125006
CCCCCCCCCCC	CHEMBL132474
ON=C1CCCCC1	CHEMBL137035
FC(F)(F)CCl	CHEMBL142556
OCCOCC(O)=O	CHEMBL147714
NC(=O)C(F)F	CHEMBL156852
CCC(C)(C)Br	CHEMBL155744
ClCC(=C)CCl	CHEMBL160833
NCC=C1SCCS1	CHEMBL163500
CCN(COC)N=O	CHEMBL164554
O=NN1CCCOC1	CHEMBL165203
CCN(C=C)N=O	CHEMBL165390
O=NN1CCCCC1	CHEMBL165244
O=NN1CCOCC1	CHEMBL165908
CCN(CCO)N=O	CHEMBL165916
CN(CC=C)N=O	CHEMBL165557
CN(CC#N)N=O	CHEMBL166186
O=NN1CCSCC1	CHEMBL166925
CCON(CC)N=O	CHEMBL164990
OC(=O)CCCS	CHEMBL1076479
CN(CCCl)N=O	CHEMBL167516
NC(=O)CCCCO	CHEMBL174400
CN(C)CCSC#N	CHEMBL176424
CN(C)C(O)=O	CHEMBL177591
NC1=NCCCSC1	CHEMBL186856
Cn1cncc1C=O	CHEMBL190795
OC1=COCC1=O	CHEMBL193817
NCCN1CCNCC1	CHEMBL209790
NCCN1CCOCC1	CHEMBL214205
Nc1nc[nH]n1	CHEMBL232801
C#Cc1ccccc1	CHEMBL234833
CN1CCCCC1=N	CHEMBL266980
CC1CCCN=C1N	CHEMBL267167
NNC(=O)c1ccncc1	CHEMBL64
CNC1=NCCCC1	CHEMBL268294
O=Cc1cccnc1	CHEMBL268493
OC(=O)c1cccnc1	CHEMBL573
O=C1CCCCCN1	CHEMBL276218
NC(=O)C1CC1	CHEMBL274503
O=Cc1ccccn1	CHEMBL274794
ClC=C(Cl)Cl	CHEMBL279816
NCCCCC(O)=O	CHEMBL284116
CCCCOC(C)=O	CHEMBL284391
C=Cc1ccccc1	CHEMBL285235
CCCc1ccccc1	CHEMBL286062
Nc1ncc[nH]1	CHEMBL291627
Fc1ncc[nH]1	CHEMBL292983
Cc1ncc[nH]1	CHEMBL293391
NC(=N)SCC=C	CHEMBL293758
OC(=O)CCCCS	CHEMBL294565
O=CNC1CCCC1	CHEMBL295789
CC(=O)OCCCl	CHEMBL296237
CCCCCCN=C=S	CHEMBL298717
CCCCSC(N)=N	CHEMBL301607
CS(N)(=O)=O	CHEMBL305268
NC1=NCCCCC1	CHEMBL315857
OCC(Cl)(Cl)Cl	CHEMBL1171
CSCCC(Cl)=O	CHEMBL326737
NC1=NCCOCC1	CHEMBL330548
COP(O)(O)=O	CHEMBL344340
CC(C)(Cl)Cl	CHEMBL349587
CCCCN(C)N=O	CHEMBL348740
ClCC(Cl)CCl	CHEMBL346933
O=NN1CC=CC1	CHEMBL350052
CC(C)C(N)=O	CHEMBL352219
NS(N)(=O)=O	CHEMBL355001
CNCc1cccnc1	CHEMBL357101
O=NN1CCCCO1	CHEMBL353755
NC1=NCCNCC1	CHEMBL361049
CC(C)(CN)CN	CHEMBL369230
O=C1CCCCCO1	CHEMBL373123
NCCNCCN1CC1	CHEMBL398940
C#Cc1cccnc1	CHEMBL394630
Cc1cc[nH]c1	CHEMBL426643
CNC(=O)C=C	CHEMBL3352942
CNC(=O)C#C	CHEMBL3352948
CNC(=O)CBr	CHEMBL3352949
CNC(=O)CCl	CHEMBL3352950
COCCC(O)=O	CHEMBL3358702
NOCc1ccccc1	CHEMBL443652
OCCc1ccccc1	CHEMBL448500
CCCC(C)(C)O	CHEMBL450417
CSSc1ccccn1	CHEMBL454604
OC(=O)C(F)F	CHEMBL453969
CC(C)CC(C)O	CHEMBL448896
NC(CS)CCSO	CHEMBL1205580
OCCNC(=O)CO	CHEMBL450812
CCNc1ccccc1	CHEMBL455541
CP(O)(=O)CN	CHEMBL458375
NC(=N)NCC=C	CHEMBL457863
OC1CCCCCCC1	CHEMBL457729
CSCCNC(N)=N	CHEMBL467663
Cc1nnn[nH]1	CHEMBL477368
CCCCCC(O)CC	CHEMBL487998
FC(F)(Br)Br	CHEMBL499553
Cc1csc(N)n1	CHEMBL505019
N#Cc1ccncc1	CHEMBL504918
ClCc1ccccc1	CHEMBL498878
CCCCCCC(C)O	CHEMBL510068
CSSc1ncccn1	CHEMBL538438
FC(F)=C(F)F	CHEMBL541730
NCCCCCCCCCN	CHEMBL572025
OS(O)(=O)=O	CHEMBL572964
CCCCCN=C=S	CHEMBL1814589
NOC1CCCCO1	CHEMBL1213808
CSCCC(N)CS	CHEMBL1159812
CCOCC(O)=O	CHEMBL1159929
CC(C)(C)ON	CHEMBL1213747
O[I](=O)=O	CHEMBL1161636
NC1CCCCCC1	CHEMBL1171864
NCc1ccncc1	CHEMBL1188378
CC(=O)SCCN	CHEMBL1190273
CCSCCNCCCN	CHEMBL1193223
CCCSCCNCCN	CHEMBL1193822
NCCCC(N)=O	CHEMBL1199935
NN=C1NCCN1	CHEMBL1197699
NOc1ccccc1	CHEMBL1213940
SCc1ccccc1	CHEMBL1224557
CCC(C)(O)CC	CHEMBL506184
NCC(F)(F)F	CHEMBL1162282
C=CCCCCCCC=C	CHEMBL31020
CCCCCNCCC#N	CHEMBL139492
NC1=NCCCOC1	CHEMBL362772
CCOc1ccccc1	CHEMBL499585
Cc1cnc(N)s1	CHEMBL502447
OCCOCCOCCO	CHEMBL1235259
CCOC(=O)NC	CHEMBL1232511
OCc1ccncc1	CHEMBL1235528
OCc1cccnc1	CHEMBL1235535
[O-][N+]#N	CHEMBL1234579
CCCC(Cl)=O	CHEMBL1300263
C1OC1C1CO1	CHEMBL1964283
CC(C)C(C)C	CHEMBL1344453
OCCN(CO)CO	CHEMBL1328640
CCOC(C)OCC	CHEMBL1338583
CCSC(Cl)=O	CHEMBL1379791
OCC(Br)CBr	CHEMBL1403428
CC(=O)OC=C	CHEMBL1470323
COC(C)(C)C	CHEMBL1452799
CCCOCC(C)O	CHEMBL1487817
ClC(Cl)C#N	CHEMBL1485360
BrC(Br)C#N	CHEMBL1462419
CCC(=O)C=C	CHEMBL1506228
NCCNC(S)=S	CHEMBL1528688
CC(C)CON=O	CHEMBL1526886
CC(C)N(C)C	CHEMBL1524256
OCC(Cl)CCl	CHEMBL1538584
CC=C(Cl)Cl	CHEMBL1595845
ONCCC(O)=O	CHEMBL1645224
CCCC(=O)NO	CHEMBL1672332
Clc1cnccn1	CHEMBL1741693
CCC1CCCCC1	CHEMBL1882821
N#Cc1cnsc1	CHEMBL1982829
OCCOCCOCCS	CHEMBL1935490
CCNCCCCNCC	CHEMBL1998989
CC(C)(C)CI	CHEMBL1993907
OC(=O)CCCl	CHEMBL1990700
NCc1cccnc1	CHEMBL1988272
OCCc1cnco1	CHEMBL2004555
CCCNSSNCCC	CHEMBL2030135
CCCSSSSCCC	CHEMBL2030130
CCCOSSOCCC	CHEMBL2030125
c1c[nH]nn1	CHEMBL2148102
CC(C)N=C=S	CHEMBL2208211
c1nnn[nH]1	CHEMBL2148103
OCc1ccccn1	CHEMBL2103981
FCC(F)(F)F	CHEMBL2104432
CNC(=S)NCO	CHEMBL2106441
N#CCCCCC#N	CHEMBL2132938
OCCn1cccn1	CHEMBL2323546
NC(=O)CC#N	CHEMBL2333142
CSN1CCC1=O	CHEMBL2313993
CC(O)C(C)O	CHEMBL2312529
SC(=S)NC#N	CHEMBL3039654
CCOC(=O)CN	CHEMBL2448938
CN(C)CCC#N	CHEMBL2448942
COCCCN(C)C	CHEMBL2448836
CN1CCCCCC1	CHEMBL2448852
N#Cc1cccs1	CHEMBL2229531
O=C1CN=CN1	CHEMBL2447922
[O-][O+]=O	CHEMBL2447938
O=Cc1cncs1	CHEMBL2228158
O=Cc1ccoc1	CHEMBL2228160
O=CC1CCOC1	CHEMBL2228161
NCCOCCOCCO	CHEMBL3092861
O=COCCOC=O	CHEMBL2270395
OC(C=C)C#N	CHEMBL2271405
CCCC(O)C=C	CHEMBL2270634
CCCC(C)C=O	CHEMBL2270061
CCCCCCOC=O	CHEMBL2270391
CCCCCCCC#N	CHEMBL3183772
CCOC(Cl)=O	CHEMBL3183406
NC(=N)NC#N	CHEMBL3183942
CC(C)COC=C	CHEMBL3183612
N#Cc1cscn1	CHEMBL3182229
CCCCCCCCNC	CHEMBL3184897
CCOC(=O)CS	CHEMBL3181965
ClCCCCCCCl	CHEMBL3183456
CN(CCO)CCO	CHEMBL3185149
CCC(Cl)CCl	CHEMBL3181977
CC=CC(O)=O	CHEMBL3185203
CCCCCCCCCI	CHEMBL3184063
CCCC(=O)CC	CHEMBL3184187
SCCCCCCCCS	CHEMBL3188161
CCNCC(C)=C	CHEMBL3187873
CCCCCCOCCO	CHEMBL3188016
CC(=O)NCCO	CHEMBL3188272
COC(=O)CCS	CHEMBL3188420
OC(=O)CC#N	CHEMBL3185860
ON=C1CCCC1	CHEMBL3188176
CSCCCN=C=S	CHEMBL3186484
ClCC(Cl)=O	CHEMBL3187685
C1CCCNCCC1	CHEMBL3186488
SCCOCCOCCS	CHEMBL3187655
CC(S)C(C)S	CHEMBL3187041
CCN(CC)C=O	CHEMBL3186600
CCOP(O)OCC	CHEMBL3185923
NCCOCCOCCN	CHEMBL3186348
SCC1=NCCN1	CHEMBL3303942
CCNC(=N)CS	CHEMBL3303576
CN1CCCC1=N	CHEMBL3303586
CCCOC(N)=O	CHEMBL3276739
COc1ccccn1	CHEMBL3274300
CCNC(=O)NO	CHEMBL3272381
Brc1cncnc1	CHEMBL3423442
CCN1CCOCC1	CHEMBL3561880
BrCCCCCCBr	CHEMBL3559826
CC(CN)CCCN	CHEMBL3561766
C=CCCN=C=S	CHEMBL3593942
OC1SC=CC1O	CHEMBL3706475
CC1=CSSC1=S	CHEMBL178491
CC1=NSSC1=S	CHEMBL457460
O=C1NC=NN1	CHEMBL1865594
S=C1NC=CN1	CHEMBL3260774
O=NN1CCOC1=O	CHEMBL12205
NCc1ccccc1Cl	CHEMBL12712
CC=CCN=C(N)N	CHEMBL72803
ON=Cc1ccccn1	CHEMBL77510
CCSc1nccnc1C	CHEMBL95073
CCCc1nccnc1C	CHEMBL95176
Oc1ccccc1Cl	CHEMBL108877
NCC=CP(O)=O	CHEMBL113217
CCC=CC(O)=O	CHEMBL114492
CCC=CC(O)=O	CHEMBL115668
Sc1ccccc1Br	CHEMBL119957
NCc1ccccc1O	CHEMBL155572
Nc1ncncc1Br	CHEMBL183973
Oc1ccccc1Br	CHEMBL186007
CSc1ccccc1O	CHEMBL225343
C1Cc2sccc2CN1	CHEMBL1526
Cc1ccccc1CN	CHEMBL268246
C=C1CCOC1=O	CHEMBL275748
CCCN=C(N)NO	CHEMBL278421
OCc1ccccc1O	CHEMBL280802
NC1CCONC1=O	CHEMBL283044
NCC=CC(N)CF	CHEMBL288059
CCc1ccccc1O	CHEMBL321029
NCC=CP(O)=O	CHEMBL324917
CNc1nccnc1C	CHEMBL329010
COc1nccnc1C	CHEMBL329881
COc1ccccc1S	CHEMBL333973
CC1CCCNC1=O	CHEMBL342795
CCc1ccccc1C	CHEMBL364233
Nc1ccccc1Cl	CHEMBL389885
CCCCCC=CC=O	CHEMBL448058
CC=NNC(N)=S	CHEMBL449882
C1NC2CNC1N2	CHEMBL450353
OCC=CC(O)=O	CHEMBL507046
CC=CC(O)=O	CHEMBL1213528
NCCC1CC1=C	CHEMBL1193587
CNc1ccccc1O	CHEMBL281223
NC1CCCCC1N	CHEMBL1356279
Cc1nnsc1CO	CHEMBL1632061
CC=C(C)C#N	CHEMBL1884429
CC1CCCCC1O	CHEMBL1946181
O=C1NSC=C1	CHEMBL1974422
CC=C(I)CBr	CHEMBL1967045
Sc1ccccc1S	CHEMBL1998992
OCC1CCCC1O	CHEMBL1993553
CCC=CN=C=S	CHEMBL2251722
CCCCCC=CCO	CHEMBL2228465
OC1OCCOC1O	CHEMBL3181831
Cc1ccccc1S	CHEMBL3182595
CCC=CCCCCO	CHEMBL3184730
CC1OCCC1=O	CHEMBL3188615
Cc1cccnc1C	CHEMBL3303914
NN1CCSC1=N	CHEMBL3303926
CN=C1CCCN1	CHEMBL3304047
CN=C1NCCS1	CHEMBL3303850
CN1CCOC1=N	CHEMBL3304108
NC1CCSC1=O	CHEMBL3272518
CCc1scnc1C	CHEMBL3275138
C1OCC2OC12	CHEMBL3276057
Cc1sccc1Br	CHEMBL3560145
CC=C(C)C=NO	CHEMBL279897
NC1=CNNC1=O	CHEMBL293420
CC=CC=CC=O	CHEMBL1576086
CNC1CC2CCC1C2	CHEMBL7041
Cc1nonc1C=NO	CHEMBL19925
Cc1nsnc1C=NO	CHEMBL20122
CC(C)CC(N)CS	CHEMBL69349
COC(=O)C1CS1	CHEMBL89706
ClCCOCC1CO1	CHEMBL234549
CN1CCCC1c1cccnc1	CHEMBL3
CC(N)C(O)=O	CHEMBL279597
CC(N)Cc1ccccc1	CHEMBL612
OCCC1COCCO1	CHEMBL396577
CC1CC(=O)O1	CHEMBL452927
BrCC(Br)C=O	CHEMBL448994
CC(O)C(O)=O	CHEMBL330546
CC(C)CC(N)CO	CHEMBL71171
NC(CO)C(O)=O	CHEMBL11298
N#CC1CCCN1	CHEMBL1076165
ClCCOCC1CO1	CHEMBL232882
OCCC1COCCO1	CHEMBL232692
ICCC1COCCO1	CHEMBL232900
CSS(=O)CC=C	CHEMBL255815
OC(=O)C1CN1	CHEMBL328290
CC(O)C(O)=O	CHEMBL358850
CCCCS(=O)SC	CHEMBL446493
CCCCSS(C)=O	CHEMBL454432
CCCN(=O)=O	CHEMBL1449933
BrCN(=O)=O	CHEMBL2335229
CCCCC(N)CS	CHEMBL3307159
COCCC(N)CS	CHEMBL3307160
CCOCC(N)CS	CHEMBL3307163
NC1CCCCNC1=O	CHEMBL40172
NC1CCCCC1N	CHEMBL1476127
NC1CCCCC1N	CHEMBL1711695
CCCC(O)C(C)N	CHEMBL68799
OCC1CCCC1O	CHEMBL2374766
O=C1C=CNC=C1	CHEMBL237459
CN1C=CC=CC1=O	CHEMBL12607
ON1C=CC=CC1=O	CHEMBL81398
CN1C=NNC1=S	CHEMBL2398113
CCN1SC=CC1=O	CHEMBL490685
CN1SC=CC1=O	CHEMBL1620780
CN1SC=CC1=N	CHEMBL3303361
CCC(C)(O)C#C	CHEMBL501613
CCC1CCN=C(N)C1	CHEMBL6813
CC(=O)N1CCCC1	CHEMBL11982
CN1CCN(C)C1=O	CHEMBL12338
NCc1ccc(F)cc1	CHEMBL12392
NCc1cccc(F)c1	CHEMBL12722
OC(=O)C(Cl)Cl	CHEMBL13960
CCCC(CCC)C(O)=O	CHEMBL109
Nc1ccc(Cl)cc1	CHEMBL15888
ClCCNC(=O)CCl	CHEMBL16693
CN(C)CC(O)CON	CHEMBL17061
NCC(=O)CCC(O)=O	CHEMBL601
NCC1(O)CCCCC1	CHEMBL18585
CCC(C)C(C)C=O	CHEMBL18278
CCCCCCCC(O)CN	CHEMBL18384
CCC(CC)C(O)CN	CHEMBL18909
NCC(O)C1CCCC1	CHEMBL18982
CC(=O)NC(C)=O	CHEMBL18986
OC(=O)P(O)(O)=O	CHEMBL666
CCCCCCCCCCCCO	CHEMBL24722
OCC(O)C(O)C=O	CHEMBL25834
NOCC(O)CNCC=C	CHEMBL26418
CC(=C)n1ccnc1	CHEMBL26191
NOCC(O)CNCC#C	CHEMBL26669
O=C=NC1CCCCC1	CHEMBL26886
C1CC1c1ccccc1	CHEMBL27706
C#CCOc1ccccc1	CHEMBL28385
CC1NCC(=O)N1O	CHEMBL31250
CCc1cccc(C)c1	CHEMBL31274
CC1NCN(O)C1=O	CHEMBL30853
OC(=O)C(Br)=C	CHEMBL34533
NCCCCCNCCCCCN	CHEMBL35633
CCCNCCCNCCCCN	CHEMBL33912
CNCCCCNCCCCNC	CHEMBL37489
NCC1CC(=O)NO1	CHEMBL40363
NCCCC(N)C(F)F	CHEMBL39264
CCNCCCNCCCNCC	CHEMBL38250
NCc1cccc(I)c1	CHEMBL39635
Oc1cccc(Cl)c1	CHEMBL41172
ClC(Cl)(Cl)Cl	CHEMBL44814
CCCCCCCCC(C)O	CHEMBL46477
CC(C)CCC(C)=O	CHEMBL45354
O=CNCc1ccccc1	CHEMBL46293
CCCc1nsc(N)n1	CHEMBL47548
CC(C)COC(C)=O	CHEMBL46999
CC1OC(=O)C=C1	CHEMBL47969
COC(=O)C(C)=C	CHEMBL49996
CC(C)CSC(N)=N	CHEMBL52410
Oc1ccc(Cl)cc1	CHEMBL57053
Nc1ccc(Br)cc1	CHEMBL57376
Oc1ccc(Br)cc1	CHEMBL57284
COc1cccc(O)c1	CHEMBL57891
OC1CNCCNCCNC1	CHEMBL57063
CCc1cccc(O)c1	CHEMBL58052
FC(F)(F)C(Cl)Br	CHEMBL931
CCc1ccnc(N)c1	CHEMBL62077
Cc1ccnc(N)c1C	CHEMBL61939
CC(C)NC(=N)NO	CHEMBL72434
OC(=O)C1CCCN1	CHEMBL72275
CCCCCNCC(N)=O	CHEMBL75838
NCCCCc1ccccc1	CHEMBL79512
OC1=COC=CC1=O	CHEMBL79857
O=C1CSC(=O)N1	CHEMBL85398
NP1(=O)NCCCO1	CHEMBL85469
CC(C)CC(N)C=O	CHEMBL88476
Cc1ccc(CO)cc1	CHEMBL90100
NCCCNCCCNCCCN	CHEMBL91193
O=C1CNC(=O)C1	CHEMBL92167
NCC(O)CC(O)=O	CHEMBL93515
C=C1CCC(=O)O1	CHEMBL93112
COc1cncc(C)n1	CHEMBL93500
CC(N)Cc1cccs1	CHEMBL95500
CCc1cnc(C)cn1	CHEMBL94558
CCCCOc1cnccn1	CHEMBL96815
CCCCCCn1ccnc1	CHEMBL97328
CC#Cc1ccccc1	CHEMBL105998
CC1COC(N)=N1	CHEMBL105823
CC1CN=C(N)O1	CHEMBL107413
Oc1cccc(I)c1	CHEMBL115335
CCC(N)(CO)CO	CHEMBL119482
Cc1ccc(S)cc1	CHEMBL119359
CSCP(O)(O)=S	CHEMBL122097
CCCP(O)(O)=O	CHEMBL125296
Cc1ccc(O)cn1	CHEMBL134979
O=C1CCCCCCN1	CHEMBL136211
OC(=O)C(O)=O	CHEMBL146755
COS(N)(=O)=O	CHEMBL150650
IC#CCn1nccn1	CHEMBL152035
IC#CCn1ccnc1	CHEMBL152036
IC#CCn1ccnn1	CHEMBL152389
IC#CCn1cccn1	CHEMBL152174
IC#CCn1ncnn1	CHEMBL152953
IC#CCn1cncn1	CHEMBL153517
CC(=C)C(N)=O	CHEMBL158237
ClCC=C(Cl)Cl	CHEMBL160390
NCCCN1CCOCC1	CHEMBL158697
NCCCN1CCCCC1	CHEMBL161741
O=NN1CCCCCC1	CHEMBL165191
O=NN1CCC=CC1	CHEMBL165213
O=NN1CC=CCO1	CHEMBL166180
CCCN(CCC)N=O	CHEMBL166242
CCCCN(CC)N=O	CHEMBL166063
CC1CCCCN1N=O	CHEMBL165747
COC(CSC#N)OC	CHEMBL170123
CC(C)CC(N)=O	CHEMBL171066
NC(=O)CCCCCO	CHEMBL172228
CSc1nnc(N)s1	CHEMBL174202
CC(C)C(=O)NN	CHEMBL174244
CN(C)CCCSC#N	CHEMBL176783
CC(=O)CCCCCN	CHEMBL176843
CC1CCC(N)=N1	CHEMBL182305
CC1CN=C(N)C1	CHEMBL183012
CC1CN=C(N)S1	CHEMBL185505
CC1CSCCN=C1N	CHEMBL188073
CCCCC1CCCCC1	CHEMBL192820
CCCCc1ccccc1	CHEMBL195441
CC1CCC(=O)O1	CHEMBL195593
NS(=O)(=O)NO	CHEMBL195540
NCCOc1ccccc1	CHEMBL217680
C#CC1=CCCCC1	CHEMBL232741
CCCCCCC(N)=O	CHEMBL238502
CCCCCCCCNCCO	CHEMBL240966
NCCCNCCNCCCN	CHEMBL259148
CN1CN=CC1CCN	CHEMBL268966
COS(C)(=O)=S	CHEMBL274116
CCN1CCCCC1=O	CHEMBL274217
NCCCc1ccccc1	CHEMBL276864
O=CC1CCCCCC1	CHEMBL277996
CN(CCCN)CCCN	CHEMBL283720
CC(C)CC(C)=O	CHEMBL285323
Cc1cccc(C)c1	CHEMBL286727
CC=C=CCN(C)C	CHEMBL287749
Brc1ncc[nH]1	CHEMBL292042
NC1CNC(=O)O1	CHEMBL293354
CCCC(=O)NC#N	CHEMBL294629
Cc1cccc(O)c1	CHEMBL298312
C[n+]1ccccc1	CHEMBL302326
CCc1ncc[nH]1	CHEMBL303797
OC(=O)C1CNC1	CHEMBL310435
COS(C)(=O)=O	CHEMBL313493
CCCCCCC(O)=O	CHEMBL320358
NC(=O)c1cccnc1	CHEMBL1140
Cc1nnc(C)n1N	CHEMBL324852
CCCCNC(=O)NO	CHEMBL331265
NC1=NCCCCCC1	CHEMBL329431
Fc1ccc(S)cc1	CHEMBL333626
Cc1cc(CO)on1	CHEMBL334685
Nc1ccnc(N)c1	CHEMBL338573
OC(=O)c1ccncc1	CHEMBL1203
Nc1cccc(N)n1	CHEMBL339234
O=NN1CCCC=C1	CHEMBL349387
FC(Cl)(Br)Br	CHEMBL345249
Cc1cccc(F)c1	CHEMBL345698
FC(Cl)(Cl)Cl	CHEMBL348290
Cc1ccc(F)cc1	CHEMBL346605
C#CCNCc1ccccc1	CHEMBL1322
CC(Cl)C(C)Cl	CHEMBL346986
CC1COCCN1N=O	CHEMBL349756
IC#CCn1cnnn1	CHEMBL357065
OCC(S)C(S)CO	CHEMBL360761
CC(=O)C(O)=C	CHEMBL365809
O=COc1ccccc1	CHEMBL366050
CNCCCC(O)=O	CHEMBL2074955
Nc1ccc(N)cc1	CHEMBL403741
OCC(O)C(O)CO	CHEMBL402812
CN1CC=CC1=O	CHEMBL3352944
N#Cc1ncccn1	CHEMBL3352946
CNC(=O)C#CC	CHEMBL3352947
CC1CCCN1C#N	CHEMBL3352954
N#CN1CCCCC1	CHEMBL3352955
N#Cc1ccncn1	CHEMBL3352956
OCCN(CCO)CCO	CHEMBL446061
CCCCCCCCCCCO	CHEMBL444525
Ic1ccc(I)cc1	CHEMBL454178
CCCCCCCC(C)O	CHEMBL454517
CC(C)=CCNC=N	CHEMBL450683
Fc1cccc(F)n1	CHEMBL449478
COCCOCCOCCO	CHEMBL1794613
OP(O)(=O)CS	CHEMBL1794623
CNCP(C)(O)=O	CHEMBL461212
CSCCCNC(N)=N	CHEMBL467662
CC(C)SC(N)=N	CHEMBL483091
CCCCCCC(O)CC	CHEMBL487999
Fc1ccc(F)cc1	CHEMBL496192
COP(N)(=O)SC	CHEMBL504888
CSC(=S)N(C)C	CHEMBL504894
C=CCc1ccccc1	CHEMBL501879
CC1CCC(N)CC1	CHEMBL510738
OCCCCC(O)=O	CHEMBL1205948
OS(F)(=O)=O	CHEMBL1207889
CN(C)C(S)=S	CHEMBL1208358
CCCCCn1cncn1	CHEMBL538933
OCCN1CCOCC1	CHEMBL1821739
OS(O)(=O)=S	CHEMBL1208642
CC(CCO)=CCO	CHEMBL1864429
CCC(O)C(O)=O	CHEMBL567588
CCN(CC)C(=S)SC	CHEMBL1745
CC(C)CC(O)=O	CHEMBL568737
NCCCCCCCCCCN	CHEMBL570383
CCc1nnc(N)s1	CHEMBL568688
OCCCCCCN=C=S	CHEMBL572728
NCC(N)C(O)=O	CHEMBL596011
NC(=N)NCC1CC1	CHEMBL74718
CCOC(=O)CBr	CHEMBL1085948
BrCc1ccccc1	CHEMBL1085946
NC(=N)NCC#C	CHEMBL1159994
O[Br](=O)=O	CHEMBL1161635
NCCC(F)(F)F	CHEMBL1162287
NC1CCCCCCC1	CHEMBL1170791
OOP(O)(O)=O	CHEMBL1162310
CCCCSCCNCCN	CHEMBL1194030
CN(C)CCCC=C	CHEMBL1180946
NCCNCCCNCCN	CHEMBL1214193
OC(=O)CNCCS	CHEMBL1192506
CCCSCCNCCCN	CHEMBL1193621
CC(O)C(O)=O	CHEMBL1200559
Nc1cccc(O)c1	CHEMBL269755
NCCCc1cccnc1	CHEMBL385023
O[Cl](=O)=O	CHEMBL1161633
CCCCCN(C)N=O	CHEMBL352469
NNCc1ccccc1	CHEMBL1231544
Cc1c[nH]cn1	CHEMBL1230309
CCOCCOCCOCC	CHEMBL1235106
ClCC(=O)CCl	CHEMBL1231783
CCCCCNCCCCC	CHEMBL1232240
CC(C)(O)C#N	CHEMBL1231861
O=CN1CCCCC1	CHEMBL1232817
C[n+]1ccsc1	CHEMBL1230156
CN(C)CCNCCN	CHEMBL1358390
ClCC(Br)CBr	CHEMBL1331743
NCCc1cccnc1	CHEMBL1256004
CCCCC(CC)CN	CHEMBL1319257
CCC(C)(C)OC	CHEMBL1359297
CC1CC(=O)O1	CHEMBL1361205
Cc1nnc(N)s1	CHEMBL1288960
CCOC(C)(C)C	CHEMBL1409831
Cc1ccc(C)o1	CHEMBL1416448
ICCc1ccccc1	CHEMBL1472377
CC(C)NC(C)C	CHEMBL1450356
CC(O)CC(C)O	CHEMBL1448046
O=C1CCCC=C1	CHEMBL1439332
CCCSC(Cl)=O	CHEMBL1469099
NC(=S)NCC=C	CHEMBL1451910
NCCCSC(N)=N	CHEMBL1434251
CC(C)CC(C)N	CHEMBL1447446
CC(=C)CNCCN	CHEMBL1487622
ONCc1ccccc1	CHEMBL1441489
Nc1nnnn1CCO	CHEMBL1491759
CC(C)(C)C#C	CHEMBL1908221
CCOC(=O)OCC	CHEMBL1533495
CCCCOCC1CO1	CHEMBL1530010
CC(C)CCON=O	CHEMBL1535371
C=CCOCC1CO1	CHEMBL1528174
COC(=O)CC#N	CHEMBL1532013
CCCCCC(N)=O	CHEMBL1523958
CCCCC(Cl)=O	CHEMBL1607711
CCNC(=S)NCC	CHEMBL1611590
CSCCNC(C)=O	CHEMBL1608327
NC(O)C(N)=O	CHEMBL1631346
ONCCCC(O)=O	CHEMBL1645226
OC(CC#N)C=C	CHEMBL1697705
ClCc1ccccn1	CHEMBL1620152
CCNc1ncccn1	CHEMBL1649893
C1CNCCNCCN1	CHEMBL1650628
OCCC1CCNCC1	CHEMBL1651433
CCCC(C)(F)F	CHEMBL1697707
CN(C)CCSCCO	CHEMBL1741819
NC(=N)C1CC1	CHEMBL1783071
CC(=O)OCC=C	CHEMBL1890774
CCCCOCCOCCO	CHEMBL1904721
CCCCOCC(C)O	CHEMBL1903014
CC1=NNOC1=O	CHEMBL1743348
O=Nc1ccccn1	CHEMBL1916779
CNCC(CS)CNC	CHEMBL1923564
OCNC(=O)C=C	CHEMBL1892361
ClCCOCOCCCl	CHEMBL1893366
CCP(C)(C)=O	CHEMBL1975454
S=CN1CCCCC1	CHEMBL1976999
SCCSCCCSCCS	CHEMBL1981348
CCCNC(=N)CF	CHEMBL1962362
CCOC(=O)CCN	CHEMBL1907041
CC(=O)CCCCO	CHEMBL1981716
Cc1ncn[nH]1	CHEMBL1935517
OCCCc1cnco1	CHEMBL1983387
OCCSCCCSCCO	CHEMBL1984911
CC(=O)SCC=C	CHEMBL1978794
C1CSCCSCCS1	CHEMBL1965619
NCCNCC(O)CO	CHEMBL1964741
OCC#CC(O)=O	CHEMBL1994370
C=CC1=NNSC1	CHEMBL1995140
COC(=N)CCCl	CHEMBL2010564
NCCCCNOCCCN	CHEMBL2009213
COCOCCC#CCO	CHEMBL2004904
Cn1cc(N)nn1	CHEMBL2071034
NNCC1CCCCC1	CHEMBL2106052
FC(F)(Cl)Cl	CHEMBL2106634
NNC(=O)CC#N	CHEMBL2106008
C=Cc1ccccn1	CHEMBL2134875
CC(S)C(O)=O	CHEMBL2158192
CSCCCCN=C=S	CHEMBL2151143
O=C(C#N)C#N	CHEMBL2333073
CNC(=O)CC#N	CHEMBL2333144
O=C1NCCC=C1	CHEMBL2347636
NCCCNCCCC=O	CHEMBL2261441
CN(C)CCCC#N	CHEMBL2448943
CCCN1CCCCC1	CHEMBL2448946
FC1(F)CCNC1	CHEMBL2448949
CS(O)(=O)=O	CHEMBL3039600
